rsscell1	rsscell2	rsscell3	rsscell4	rsscell5	rsscell6	rsscell7	rsscell8
1525253196216	RSSCELL	LTE	58.591213	16.177378	-1	48	-94
1525253196216	RSSCELL	LTE	58.591213	16.177378	25729813	49	-73
1525253196216	RSSCELL	LTE	58.591213	16.177378	-1	423	-94
1525253196216	RSSCELL	LTE	58.591213	16.177378	-1	424	-92
1525253196695	RSSCELL	LTE	58.591213	16.177378	-1	48	-94
1525253196695	RSSCELL	LTE	58.591213	16.177378	25729813	49	-73
1525253196695	RSSCELL	LTE	58.591213	16.177378	-1	423	-94
1525253196695	RSSCELL	LTE	58.591213	16.177378	-1	424	-92
1525253198936	RSSCELL	LTE	58.591213	16.177378	-1	48	-90
1525253198936	RSSCELL	LTE	58.591213	16.177378	25729813	49	-72
1525253198936	RSSCELL	LTE	58.591213	16.177378	-1	424	-88
1525253219516	RSSCELL	LTE	58.591213	16.177378	25729813	49	-81
1525253227191	RSSCELL	LTE	58.591213	16.177378	-1	48	-94
1525253227191	RSSCELL	LTE	58.591213	16.177378	25729813	49	-76
1525253251299	RSSCELL	LTE	58.591137	16.177534	25729813	49	-78
1525253260034	RSSCELL	LTE	58.591137	16.177732	25729813	49	-78
1525253260034	RSSCELL	LTE	58.591137	16.177732	-1	50	-95
1525253260034	RSSCELL	LTE	58.591137	16.177732	-1	383	-88
1525253270582	RSSCELL	LTE	58.59121	16.177732	25729813	49	-75
1525253274636	RSSCELL	LTE	58.5912	16.177767	25729813	49	-77
1525253274636	RSSCELL	LTE	58.5912	16.177767	-1	291	-93
1525253274636	RSSCELL	LTE	58.5912	16.177767	-1	352	-97
1525253285103	RSSCELL	LTE	58.591187	16.177952	25729813	49	-82
1525253293690	RSSCELL	LTE	58.59118	16.178051	25729813	49	-80
1525253293690	RSSCELL	LTE	58.59118	16.178051	-1	352	-90
1525253293690	RSSCELL	LTE	58.59118	16.178051	-1	383	-90
1525253315515	RSSCELL	LTE	58.591152	16.178335	25729813	49	-79
1525253341175	RSSCELL	LTE	58.591156	16.17836	-1	191	-87
1525253341175	RSSCELL	LTE	58.591156	16.17836	25729300	364	-76
1525253351640	RSSCELL	LTE	58.591213	16.17823	25729300	364	-96
1525253359769	RSSCELL	LTE	58.591248	16.178192	-1	191	-113
1525253359769	RSSCELL	LTE	58.591248	16.178192	25729300	364	-109
1525253359769	RSSCELL	LTE	58.591248	16.178192	-1	382	-116
1525253366887	RSSCELL	LTE	58.591248	16.178192	-1	48	-116
1525253366887	RSSCELL	LTE	58.591248	16.178192	-1	49	-109
1525253366887	RSSCELL	LTE	58.591248	16.178192	-1	352	-113
1525253366887	RSSCELL	LTE	58.591248	16.178192	25728799	383	-109
1525253366951	RSSCELL	LTE	58.591248	16.178192	-1	48	-116
1525253366951	RSSCELL	LTE	58.591248	16.178192	-1	49	-109
1525253366951	RSSCELL	LTE	58.591248	16.178192	-1	352	-113
1525253366951	RSSCELL	LTE	58.591248	16.178192	25728799	383	-109
1525253405171	RSSCELL	LTE	58.591248	16.178192	25728799	383	-112
1525253407206	RSSCELL	LTE	58.591248	16.178192	-1	49	-114
1525253407206	RSSCELL	LTE	58.591248	16.178192	25728799	383	-110
1525253420298	RSSCELL	LTE	58.591248	16.178192	25728799	383	-110
1525253425666	RSSCELL	LTE	58.591248	16.178192	-1	48	-118
1525253425666	RSSCELL	LTE	58.591248	16.178192	-1	49	-112
1525253425666	RSSCELL	LTE	58.591248	16.178192	-1	291	-121
1525253425666	RSSCELL	LTE	58.591248	16.178192	25728799	383	-111
1525253449930	RSSCELL	LTE	58.591248	16.178192	25728799	383	-104
